transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
NM_001282945.1	1	1	FALSE	FALSE
NM_001291930.1	1	1	FALSE	FALSE
NM_001291928.1	1	1	FALSE	FALSE
NM_001039510.2	1	1	FALSE	FALSE
NM_001008533.3	1	1	FALSE	FALSE
NM_001290390.1	1	1	FALSE	FALSE
NM_001290392.1	1	1	FALSE	FALSE
NM_001290393.1	1	1	FALSE	FALSE
NM_001289704.2	1	1	FALSE	FALSE
NM_175642.4	1	1	FALSE	FALSE
NM_008922.2	1	1	FALSE	FALSE
NM_009805.4	1	1	FALSE	FALSE
NM_207653.5	1	1	FALSE	FALSE
NM_001293804.1	1	1	FALSE	FALSE
NM_027671.5	1	1	FALSE	FALSE
NM_178884.5	1	1	FALSE	FALSE
NM_027677.2	3	1	TRUE	FALSE
NM_001310679.1	1	1	FALSE	FALSE
NR_040472.1	1	1	FALSE	FALSE
NM_176916.4	1	1	FALSE	FALSE
NM_001195816.1	1	1	FALSE	FALSE
NM_033652.5	1	1	FALSE	FALSE
NM_181546.3	1	1	FALSE	FALSE
NM_001301370.1	1	1	FALSE	FALSE
NM_001160370.2	1	1	FALSE	FALSE
NM_177834.4	3	1	TRUE	FALSE
NM_145381.2	1	1	FALSE	FALSE
NM_001310451.1	1	1	FALSE	FALSE
NM_001289497.1	1	1	FALSE	FALSE
NM_177173.6	1	1	FALSE	FALSE
NM_001160371.2	1	1	FALSE	FALSE
NM_001160369.2	1	1	FALSE	FALSE
NM_027974.1	1	1	FALSE	FALSE
NM_133235.3	1	1	FALSE	FALSE
NR_040465.1	1	1	FALSE	FALSE
NM_001029878.1	1	1	FALSE	FALSE
NM_146107.2	2	1	TRUE	FALSE
NM_001160386.1	1	1	FALSE	FALSE
NM_053107.4	1	1	FALSE	FALSE
NM_001163314.2	1	1	FALSE	FALSE
NM_001252070.1	1	1	FALSE	FALSE
NM_001114663.1	1	1	FALSE	FALSE
NM_001081050.2	2	1	TRUE	FALSE
NM_007561.4	1	1	FALSE	FALSE
NM_175210.3	1	1	FALSE	FALSE
NM_010154.2	5	1	TRUE	FALSE
NM_009533.2	1	1	FALSE	FALSE
NM_001310662.1	1	1	FALSE	FALSE
NM_029160.3	1	1	FALSE	FALSE
